price,rooms,lift,terrace,square_meters,real_state,neighborhood,square_meters_price
750,3,1,0,60,2,3,12.5
770,2,1,0,59,2,6,13.0508
1300,1,1,1,30,2,2,43.3333
2800,1,1,1,70,2,0,40.0
720,2,1,0,44,2,6,16.3636
1100,3,0,0,118,1,3,9.32203
1350,3,1,0,84,2,9,16.0714
900,2,1,0,60,2,9,15.0
1165,4,1,0,106,2,3,10.9906
1050,2,1,0,70,2,4,15.0
2500,4,1,0,161,2,9,15.528
1335,2,1,0,55,2,7,24.2727
2200,4,1,1,175,2,1,12.5714
2500,3,1,1,145,2,9,17.2414
980,2,1,0,82,2,1,11.9512
1050,2,1,0,66,2,1,15.9091
1500,4,1,0,129,2,3,11.6279
1350,3,1,0,95,2,1,14.2105
1080,3,1,0,92,2,2,11.7391
2500,3,1,0,130,2,4,19.2308
950,3,1,0,76,1,3,12.5
850,3,1,0,80,2,8,10.625
1800,3,0,0,102,2,1,17.6471
2300,2,1,0,150,2,1,15.3333
950,4,1,0,90,2,8,10.5556
842,3,1,0,68,2,3,12.3824
1350,3,1,0,84,2,9,16.0714
900,2,1,0,60,2,9,15.0
1165,4,1,0,106,2,3,10.9906
1050,2,1,0,70,2,4,15.0
2500,4,1,0,161,2,9,15.528
1335,2,1,0,55,2,7,24.2727
900,1,1,0,45,2,1,20.0
1180,3,1,1,79,2,1,14.9367
900,3,1,0,65,2,4,13.8462
1200,4,1,0,116,2,9,10.3448
750,1,0,0,45,2,1,16.6667
1400,3,1,0,93,2,9,15.0538
852,4,1,0,75,2,8,11.36
1250,4,1,1,98,2,1,12.7551
750,2,0,0,60,2,2,12.5
1000,1,1,0,60,2,9,16.6667
1250,4,1,0,121,2,1,10.3306
900,2,1,0,78,2,7,11.5385
1600,3,1,1,78,1,2,20.5128
1450,4,1,0,177,2,7,8.19209
900,2,1,0,55,2,6,16.3636
1350,3,1,0,76,2,7,17.7632
1246,1,1,0,51,2,1,24.4314
850,1,0,0,45,2,0,18.8889
750,3,1,0,42,2,2,17.8571
1580,3,1,1,110,2,0,14.3636
1950,4,1,1,158,2,1,12.3418
1350,1,1,1,60,1,0,22.5
1060,4,1,0,90,2,6,11.7778
1350,3,1,0,104,2,9,12.9808
900,4,1,0,80,2,1,11.25
2700,4,1,0,85,2,9,31.7647
1600,2,1,0,100,2,1,16.0
625,2,1,0,41,2,3,15.2439
2550,2,1,0,137,2,0,18.6131
925,4,1,1,101,2,7,9.15842
2200,2,1,1,79,1,7,27.8481
2700,3,1,0,85,2,9,31.7647
1290,2,1,0,70,2,4,18.4286
3000,3,0,0,150,0,1,20.0
780,2,0,0,62,2,3,12.5806
1300,5,1,0,130,2,1,10.0
1053,4,1,0,95,2,7,11.0842
1250,1,0,0,35,0,1,35.7143
650,1,0,0,55,2,0,11.8182
1500,4,1,0,150,2,1,10.0
1190,4,1,0,130,2,1,9.15385
660,2,0,0,46,2,6,14.3478
1585,4,1,1,123,2,9,12.8862
950,4,1,0,79,2,6,12.0253
1850,3,1,0,140,2,9,13.2143
1080,3,1,0,72,2,7,15.0
710,1,1,0,90,2,8,7.88889
2200,4,0,0,90,0,2,24.4444
3468,3,0,0,98,0,0,35.3878
